dist,idx_problem,n_segments,displace_func,reoptm_standard_form,reoptm_ldr,reoptm_pwldr_uniform,reoptm_pwldr_optimize,reoptm_eev,dr_ldr,dr_pwldr_uniform,dr_pwldr_optimize,obj_value_ldr,obj_value_pwldr_uniform,obj_value_pwldr_optimize,obj_value_eev,obj_value_standard_form,ws,opt_time
"Normal 50,5 - 10,90",4,8,ls_independent,22163.8551496074,31949.959706107467,22175.440793958016,22182.324367685764,22175.440793958016,31995.83012995976,22858.191762578474,22838.82146754566,31994.939884762083,22853.128553826657,22833.315657389765,21621.2477858386,22080.99967216551,21621.242760737143,55.97200012207031
"Normal 50,5 - 10,90",4,8,ls_dependent,22163.8551496074,31949.959706107467,22175.440793958016,22187.89123948866,22175.440793958016,31995.83012995976,22858.191762578474,22838.528721498074,31994.939884762083,22853.128553826657,22833.157621556336,21621.2477858386,22080.99967216551,21621.242760737143,165.89199995994568
"Normal 50,5 - 10,90",4,9,black_box,22163.8551496074,31949.959706107467,22785.446671832247,22214.92561385029,22175.440793958016,31995.83012995976,23090.695474354452,22866.043640951906,31994.939884762083,23089.800949748907,22859.217601084863,21621.2477858386,22080.99967216551,21621.242760737143,158.96799993515015
"Normal 50,5 - 10,90",4,9,ls_independent,22163.8551496074,31949.959706107467,22785.446671832247,22188.202735764007,22175.440793958016,31995.83012995976,23090.695474354452,22842.005287946602,31994.939884762083,23089.800949748907,22836.652451644153,21621.2477858386,22080.99967216551,21621.242760737143,107.6579999923706
"Normal 50,5 - 10,90",4,9,ls_dependent,22163.8551496074,31949.959706107467,22785.446671832247,22188.202735764007,22175.440793958016,31995.83012995976,23090.695474354452,22842.00528794656,31994.939884762083,23089.800949748907,22836.652451666232,21621.2477858386,22080.99967216551,21621.242760737143,64.00999999046326
"Normal 50,5 - 10,90",4,10,black_box,22163.8551496074,31949.959706107467,22175.440793958016,22167.405869988663,22175.440793958016,31995.83012995976,22859.111269203153,22865.849834432414,31994.939884762083,22854.36264199302,22860.34889564096,21621.2477858386,22080.99967216551,21621.242760737143,192.45600008964539
"Normal 50,5 - 10,90",4,10,ls_independent,22163.8551496074,31949.959706107467,22175.440793958016,22185.566245388363,22175.440793958016,31995.83012995976,22859.111269203153,22839.69979340742,31994.939884762083,22854.36264199302,22834.492292531737,21621.2477858386,22080.99967216551,21621.242760737143,132.28900003433228
"Normal 50,5 - 10,90",4,10,ls_dependent,22163.8551496074,31949.959706107467,22175.440793958016,22185.566245388367,22175.440793958016,31995.83012995976,22859.111269203153,22839.69979340742,31994.939884762083,22854.36264199302,22834.49229253325,21621.2477858386,22080.99967216551,21621.242760737143,89.95099997520447
"Normal 50,5 - 35,65",4,2,black_box,22132.72757520371,25494.499057388293,22143.0629654668,22142.948085468033,22143.0629654668,25494.499057388293,22854.597214115787,22888.27367665888,25499.110969383884,22869.781893702035,22907.005915142003,21621.2477858386,22103.932021816494,21609.983376242162,11.259999990463257
"Normal 50,5 - 35,65",4,2,ls_independent,22132.72757520371,25494.499057388293,22143.0629654668,22164.67858138618,22143.0629654668,25494.499057388293,22854.597214115787,22824.907338838068,25499.110969383884,22869.781893702035,22839.35312298022,21621.2477858386,22103.932021816494,21609.983376242162,2.765000104904175
"Normal 50,5 - 35,65",4,2,ls_dependent,22132.72757520371,25494.499057388293,22143.0629654668,22154.85419586016,22143.0629654668,25494.499057388293,22854.597214115787,22824.585673311463,25499.110969383884,22869.781893702035,22838.99163388699,21621.2477858386,22103.932021816494,21609.983376242162,2.0799999237060547
