dist,n_clients,n_segments,displace_func,PI,sum_model,sum_pi
"Normal 50,5 - 10,90",2,5,ls_independent,1.1161959147592657,2.789073997932745e6,1.3179658738023906e6
"Normal 50,5 - 10,90",2,10,ls_independent,1.1161959147592657,2.789073997932745e6,1.3179658738023906e6
"Normal 50,5 - 10,90",5,2,ls_independent,4.140604525445739,1.7233956732081693e7,3.352515574145892e6
"Normal 50,5 - 10,90",5,5,ls_independent,4.140604525445739,1.7233956732081693e7,3.352515574145892e6
"Normal 50,5 - 10,90",5,10,ls_independent,4.140604525445739,1.7233956732081693e7,3.352515574145892e6
"Normal 50,5 - 10,90",10,2,ls_independent,8.616397199779195,7.050034300343075e7,7.331263625950219e6
"Normal 50,5 - 10,90",10,5,ls_independent,8.616397199779195,7.050034300343075e7,7.331263625950219e6
"Normal 50,5 - 10,90",10,10,ls_independent,8.616397199779195,7.050034300343075e7,7.331263625950219e6
"Normal 50,5 - 35,65",2,2,ls_independent,0.13806226072943026,1.975140100636998e6,1.7355290380783302e6
"Normal 50,5 - 35,65",2,5,ls_independent,0.13806226072943026,1.975140100636998e6,1.7355290380783302e6
"Normal 50,5 - 35,65",2,10,ls_independent,0.13806226072943026,1.975140100636998e6,1.7355290380783302e6
"Normal 50,5 - 35,65",5,2,ls_independent,1.0142686769077338,8.275477418396326e6,4.1084277947968086e6
"Normal 50,5 - 35,65",5,5,ls_independent,1.0142686769077338,8.275477418396326e6,4.1084277947968086e6
"Normal 50,5 - 35,65",5,10,ls_independent,1.0142686769077338,8.275477418396326e6,4.1084277947968086e6
"Normal 50,5 - 35,65",10,2,ls_independent,2.7316942009135357,2.8472083316954013e7,7.6298007778836535e6
"Normal 50,5 - 35,65",10,5,ls_independent,2.7316942009135357,2.8472083316954013e7,7.6298007778836535e6
"Normal 50,5 - 35,65",10,10,ls_independent,2.7316942009135357,2.8472083316954013e7,7.6298007778836535e6
"Normal 50,20 - 10,90",2,2,ls_independent,1.1587518391825458,3.0956937181704426e6,1.4340201879539283e6
"Normal 50,20 - 10,90",2,5,ls_independent,1.1587518391825458,3.0956937181704426e6,1.4340201879539283e6
"Normal 50,20 - 10,90",2,10,ls_independent,1.1587518391825458,3.0956937181704426e6,1.4340201879539283e6
"Normal 50,20 - 10,90",5,2,ls_independent,3.792985433851423,1.7778993770579938e7,3.709377801362011e6
"Normal 50,20 - 10,90",5,5,ls_independent,3.792985433851423,1.7778993770579938e7,3.709377801362011e6
"Normal 50,20 - 10,90",5,10,ls_independent,3.792985433851423,1.7778993770579938e7,3.709377801362011e6
"Normal 50,20 - 10,90",10,2,ls_independent,8.940019662597845,7.241977016408068e7,7.285676751383168e6
"Normal 50,20 - 10,90",10,5,ls_independent,8.940019662597845,7.241977016408068e7,7.285676751383168e6
"Normal 50,20 - 10,90",10,10,ls_independent,8.940019662597845,7.241977016408068e7,7.285676751383168e6
"Normal 50,20 - 35,65",2,2,ls_independent,0.14323590611167236,1.5471200253625475e6,1.3532815205433404e6
"Normal 50,20 - 35,65",2,5,ls_independent,0.14323590611167236,1.5471200253625475e6,1.3532815205433404e6
"Normal 50,20 - 35,65",2,10,ls_independent,0.14323590611167236,1.5471200253625475e6,1.3532815205433404e6
"Normal 50,20 - 35,65",5,2,ls_independent,0.9628279506259556,7.507710037288139e6,3.824945551083014e6
"Normal 50,20 - 35,65",5,5,ls_independent,0.9628279506259556,7.507710037288139e6,3.824945551083014e6
"Normal 50,20 - 35,65",5,10,ls_independent,0.9628279506259556,7.507710037288139e6,3.824945551083014e6
"Normal 50,20 - 35,65",10,2,ls_independent,2.8459092752082285,2.7569817782851283e7,7.168608464212556e6
"Normal 50,20 - 35,65",10,5,ls_independent,2.8459092752082285,2.7569817782851283e7,7.168608464212556e6
"Normal 50,20 - 35,65",10,10,ls_independent,2.8459092752082285,2.7569817782851283e7,7.168608464212556e6
