dist,n_clients,n_segments,displace_func,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Normal 50,5 - 35,65",3,2,black_box,6564.837118174633,6922.010379809648,6937.228010752654,6579.406824471514,6948.074045951795,6963.83878063919,7220.518609224344,5.30899977684021
"Normal 50,5 - 35,65",3,2,ls_independent,6564.837118174633,6922.010379809648,6959.219746521084,6579.406824471514,6948.074045951795,6983.718559916924,7220.518609224344,1.4059998989105225
"Normal 50,5 - 35,65",3,3,black_box,6564.837118174633,6928.494791652739,6961.279930781919,6579.406824471514,6948.419040462907,6985.518268743227,7220.518609224344,8.710000038146973
"Normal 50,5 - 35,65",3,3,ls_independent,6564.837118174633,6928.494791652739,6963.053629242471,6579.406824471514,6948.419040462907,6987.2165824449885,7220.518609224344,1.819000005722046
"Normal 50,5 - 35,65",3,4,black_box,6564.837118174633,6938.034366968558,6961.287881202131,6579.406824471514,6963.238904942151,6986.189418394318,7220.518609224344,12.305000066757202
"Normal 50,5 - 35,65",3,4,ls_independent,6564.837118174633,6938.034366968558,6963.116526187071,6579.406824471514,6963.238904942151,6987.52481145284,7220.518609224344,5.080999851226807
"Normal 50,5 - 35,65",3,5,black_box,6564.837118174633,6956.5220405992695,6960.529027559587,6579.406824471514,6978.995539514692,6985.146354526817,7220.518609224344,18.233999967575073
"Normal 50,5 - 35,65",3,5,ls_independent,6564.837118174633,6956.5220405992695,6961.58630471493,6579.406824471514,6978.995539514692,6985.74316730337,7220.518609224344,6.460999965667725
"Normal 50,5 - 35,65",4,2,black_box,10140.090251778993,10639.196637979974,10671.523549724061,10156.122757237796,10656.019858793126,10686.101376132448,11052.771088054536,10.055999994277954
"Normal 50,5 - 35,65",4,2,ls_independent,10140.090251778993,10639.196637979974,10689.553777105553,10156.122757237796,10656.019858793126,10705.131358175784,11052.771088054536,2.547999858856201
"Normal 50,5 - 35,65",4,3,black_box,10140.090251778993,10653.901034444298,10685.655739329724,10156.122757237796,10670.986643349986,10700.898066386644,11052.771088054536,20.61299991607666
"Normal 50,5 - 35,65",4,3,ls_independent,10140.090251778993,10653.901034444298,10689.512480182635,10156.122757237796,10670.986643349986,10705.061905979694,11052.771088054536,5.072999954223633
"Normal 50,5 - 35,65",4,4,black_box,10140.090251778993,10639.196637979972,10687.783279583591,10156.122757237796,10656.019858793126,10703.16030184634,11052.771088054536,34.580000162124634
"Normal 50,5 - 35,65",4,4,ls_independent,10140.090251778993,10639.196637979972,10689.55951284125,10156.122757237796,10656.019858793126,10705.147986989003,11052.771088054536,10.555000066757202
"Normal 50,5 - 35,65",4,5,black_box,10140.090251778993,10688.532328327456,10688.24096251437,10156.122757237796,10704.598075512238,10703.737509712282,11052.771088054536,52.71499991416931
"Normal 50,5 - 35,65",4,5,ls_independent,10140.090251778993,10688.532328327456,10689.510264291299,10156.122757237796,10704.598075512238,10705.209730202063,11052.771088054536,21.421000003814697
"Normal 50,5 - 35,65",5,2,black_box,12746.63062931307,13386.744368234806,13445.557870704748,12746.891631914266,13385.726071350919,13438.695099441127,13909.275953977542,21.66000008583069
"Normal 50,5 - 35,65",5,2,ls_independent,12746.63062931307,13386.744368234806,13464.409271894629,12746.891631914266,13385.726071350919,13459.744726619778,13909.275953977542,6.648000001907349
"Normal 50,5 - 35,65",5,3,black_box,12746.63062931307,13414.84965406534,13454.65012216061,12746.891631914266,13413.01031362178,13453.06335148284,13909.275953977542,45.80799984931946
"Normal 50,5 - 35,65",5,3,ls_independent,12746.63062931307,13414.84965406534,13464.56295354138,12746.891631914266,13413.01031362178,13459.591483838953,13909.275953977542,17.125999927520752
"Normal 50,5 - 35,65",5,4,black_box,12746.63062931307,13406.215302380688,13456.184505925808,12746.891631914266,13402.883750210827,13451.832933269528,13909.275953977542,72.05399990081787
"Normal 50,5 - 35,65",5,4,ls_independent,12746.63062931307,13406.215302380688,13464.55370090977,12746.891631914266,13402.883750210827,13459.63151186144,13909.275953977542,41.30799984931946
"Normal 50,5 - 35,65",5,5,black_box,12746.63062931307,13457.635147662051,13458.169138127221,12746.891631914266,13453.801279727431,13453.267264892074,13909.275953977542,112.72499990463257
"Normal 50,5 - 35,65",5,5,ls_independent,12746.63062931307,13457.635147662051,13464.622281564194,12746.891631914266,13453.801279727431,13459.524682220135,13909.275953977542,62.43300008773804
